osmiokat [[1115.8955   429.4246 ]
 [1156.1107   401.11853]
 [1207.4166   408.02658]
 [1235.5275   448.36942]
 [1230.0754   495.95065]
 [1188.8893   526.20557]
 [1137.7144   519.1814 ]
 [1107.233    476.51788]]szesciokat [[1170.1766 1007.1501]
 [1195.3367  947.266 ]
 [1257.2384  936.8183]
 [1297.4104  986.2479]
 [1275.3383 1049.0492]
 [1207.8462 1058.0409]]czworokat [[881.738   648.8797 ]
 [965.6302  681.92175]
 [931.6279  767.75366]
 [845.52734 731.8397 ]]dwunastokat [[602.0665  782.0347 ]
 [613.286   753.6272 ]
 [639.7464  733.3502 ]
 [672.0999  727.5828 ]
 [701.4933  737.7272 ]
 [725.1271  761.66846]
 [730.672   794.86774]
 [718.84436 827.5128 ]
 [694.2598  849.29816]
 [660.4455  855.2051 ]
 [630.217   845.09546]
 [606.4702  819.2934 ]]
