               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12089,            0.059936,            0.048242,           0.0042707,             0.13306,           0.0059416,           0.0013548,             0.10426,            0.081424,            0.044968,            0.070769,           0.0032479,           0.0032479
                   1,             0.10408,            0.071302,            0.044808,             0.12187,             0.19834,            0.065685,            0.013001,            0.097029,            0.072931,            0.044793,            0.040682,           0.0064943,           0.0064943
                   2,            0.096769,              0.0586,            0.041844,            0.052262,             0.16478,            0.034079,           0.0083149,             0.10626,            0.055273,            0.041764,            0.010507,           0.0096528,           0.0096528
                   3,             0.10308,             0.05291,            0.040114,              0.1405,             0.20227,             0.16264,            0.039279,            0.098658,            0.052514,            0.039353,            0.009604,            0.009604,            0.009604
                   4,            0.092404,            0.052217,            0.038948,            0.032336,              0.7051,            0.052296,             0.01452,            0.090583,            0.056536,            0.037142,            0.009604,            0.009604,            0.009604
                   5,            0.090389,            0.052665,            0.037611,            0.081561,              0.5044,             0.10184,            0.029431,            0.087436,             0.05466,            0.034761,            0.009472,            0.009472,            0.009472
                   6,            0.082238,            0.051429,             0.03494,             0.15912,             0.37627,             0.22957,            0.066376,            0.084064,             0.05869,            0.031678,             0.00934,             0.00934,             0.00934
                   7,             0.07721,            0.046852,            0.033278,              0.1667,             0.43538,              0.2617,            0.079607,            0.095522,            0.045587,            0.029812,            0.009208,            0.009208,            0.009208
                   8,            0.075631,            0.054359,             0.03285,             0.35365,             0.57539,             0.40227,             0.12552,            0.065714,            0.069419,            0.029029,            0.009076,            0.009076,            0.009076
                   9,            0.064912,            0.051187,            0.031946,             0.27098,              0.6554,             0.36176,             0.11331,            0.066662,            0.054954,            0.028599,            0.008944,            0.008944,            0.008944
                  10,             0.06593,             0.04875,            0.031006,             0.32879,             0.70783,             0.41125,             0.10034,            0.059817,            0.051938,            0.027765,            0.008812,            0.008812,            0.008812
                  11,            0.063902,            0.050699,            0.030369,             0.39713,              0.7636,             0.48872,              0.1409,            0.055742,            0.053062,            0.027479,             0.00868,             0.00868,             0.00868
                  12,            0.058321,            0.049471,             0.02995,             0.30801,             0.80704,             0.41889,             0.14282,            0.053608,            0.047364,            0.027429,            0.008548,            0.008548,            0.008548
