                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8726,                  2.467,                 1.3615,                0.54839,                0.73313,                0.63324,                0.30584,                 1.6098,                 1.8517,                 1.2783,              0.0004085,              0.0004085,              0.0004085
                      2,                  1.439,                 1.7451,                 1.1731,                0.59726,                0.87741,                0.88489,                0.49557,                 1.2701,                 1.7768,                 1.1513,             0.00081427,             0.00081427,             0.00081427
                      3,                  1.397,                 1.6122,                 1.1469,                0.70838,                0.87003,                0.83867,                0.48664,                 1.2765,                 1.3061,                 1.1684,               0.001209,               0.001209,               0.001209
                      4,                 1.2507,                 1.4691,                 1.0915,                0.65807,                0.83487,                0.84806,                0.54427,                 1.0881,                  1.823,                 1.0642,              0.0012005,              0.0012005,              0.0012005
                      5,                 1.1955,                 1.4891,                 1.0507,                0.75723,                0.83015,                0.90606,                0.60334,                 1.1325,                  1.197,                 1.0731,               0.001184,               0.001184,               0.001184
                      6,                 1.1807,                 1.4125,                 1.0478,                0.60629,                 0.8122,                0.79047,                0.52324,                 1.2184,                 1.1746,                 1.1033,              0.0011675,              0.0011675,              0.0011675
                      7,                 1.1355,                 1.2127,                 1.0551,                0.80957,                0.89669,                0.94876,                0.65518,                 1.0044,                0.84725,                 1.0298,               0.001151,               0.001151,               0.001151
                      8,                 1.1009,                 1.0598,                 1.0483,                0.90297,                   0.92,                0.95968,                 0.7092,                0.96711,                0.77199,                 1.0046,              0.0011345,              0.0011345,              0.0011345
                      9,                 1.0766,                0.94912,                 1.0396,                  0.959,                0.91603,                0.96999,                0.69691,                 0.9619,                0.69035,                 1.0093,               0.001118,               0.001118,               0.001118
                     10,                 1.0277,                0.81434,                 1.0152,                0.97344,                0.93388,                0.97183,                0.77512,                0.77661,                0.64486,                0.94621,              0.0011015,              0.0011015,              0.0011015
                     11,                 0.9706,                0.77819,                 1.0013,                0.97777,                0.94662,                0.97445,                 0.7815,                0.77621,                0.57734,                0.93231,               0.001085,               0.001085,               0.001085
                     12,                0.96111,                 0.7392,                 1.0079,                 0.9153,                 0.9394,                0.97465,                0.74459,                0.96231,                0.65216,                0.99241,              0.0010685,              0.0010685,              0.0010685
                     13,                 0.8625,                0.73591,                 0.9521,                0.95936,                0.94459,                0.97994,                0.78962,                0.75233,                0.58946,                0.91654,               0.001052,               0.001052,               0.001052
                     14,                0.83251,                 0.6719,                 0.9303,                 0.9562,                0.96758,                0.98464,                0.80814,                0.69948,                0.52584,                0.89606,              0.0010355,              0.0010355,              0.0010355
                     15,                0.78819,                0.62049,                0.93184,                0.93842,                0.95945,                 0.9828,                0.82056,                 0.6874,                0.47327,                 0.8992,               0.001019,               0.001019,               0.001019
                     16,                 0.7947,                   0.61,                0.94969,                0.97587,                 0.9411,                0.98124,                0.81112,                0.73752,                0.49929,                0.91407,              0.0010025,              0.0010025,              0.0010025
                     17,                0.78649,                0.58563,                0.93035,                0.97358,                0.95257,                0.98195,                0.81802,                0.68504,                0.48965,                0.89946,               0.000986,               0.000986,               0.000986
                     18,                0.77363,                0.55195,                 0.9152,                0.97877,                0.96099,                0.98393,                0.83677,                0.65402,                0.45126,                 0.8859,              0.0009695,              0.0009695,              0.0009695
                     19,                0.73043,                0.52665,                0.90134,                0.95773,                0.96088,                 0.9873,                0.80722,                0.69254,                0.43522,                0.89702,               0.000953,               0.000953,               0.000953
                     20,                0.74154,                0.51489,                0.89947,                0.98056,                0.95807,                0.98467,                0.78982,                0.83888,                0.48787,                0.95781,              0.0009365,              0.0009365,              0.0009365
                     21,                0.74491,                0.52503,                0.90994,                0.96623,                0.97219,                0.98519,                0.84715,                0.60075,                0.40617,                0.86387,                0.00092,                0.00092,                0.00092
                     22,                0.67367,                0.50064,                0.88383,                0.94689,                0.96365,                0.98725,                0.78507,                0.83883,                0.45166,                0.94679,              0.0009035,              0.0009035,              0.0009035
